O=C([O-])C[C@@H](O)[C@@H](O)C(=O)[O-]
O=C([O-])[C@H]1CC(=O)N(CCN2C[C@H](C(=O)[O-])CC2=O)C1
CC(C)Oc1ccc([C@@H](CC(=O)[O-])C(=O)[O-])cc1
COc1ccc(C[C@H](C(=O)[O-])[C@@H](C)C(=O)[O-])cc1
O=C([O-])/C=C/c1cccc(/C=C/C(=O)[O-])n1
O=C1c2ccccc2C(=O)C(O)(O)C1(O)O
Cc1c(C(=O)[O-])c[nH]c(=O)c1C(=O)[O-]
COc1cccc(/C=C(/CCC(=O)[O-])C(=O)[O-])c1
C[C@@H](CC(=O)[O-])CC(=O)Nc1ccc(C(=O)[O-])cc1
O=C([O-])CC[C@H](NC(=O)c1ccc(I)cc1)C(=O)[O-]
O=C([O-])CSC(SCC(=O)[O-])c1ccc2c(c1)OCO2
O=C([O-])[C@@H]1[C@H]2C[C@H](c3ccccc3)[C@H](O2)[C@@H]1C(=O)[O-]
O=C([O-])c1ccccc1C[NH+]1CC[C@H](O)C[C@@H]1C(=O)[O-]
CC[C@](C)([NH3+])C(=O)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
O=C([O-])CN(CC(=O)[O-])C(=O)c1c(F)cc(Br)cc1F
O=C([O-])CC[C@@H](C(=O)[O-])N1Cc2ccccc2C1=O
O=C([O-])c1ccc(S(=O)(=O)[O-])cc1C(=O)[O-]
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])s2)cc1
O=C([O-])c1ccnc(-c2cc(C(=O)[O-])ccn2)c1
O=C([O-])Cn1cnc2ccc(C(=O)[O-])cc21
CC1=CCC[C@H]2[C@]1(C)CC[C@@H](C)[C@]2(C)CC/C(=C\C(=O)[O-])C(=O)[O-]
CCC[NH+]1CC2(CCN(c3ccc(C(=O)[O-])c[nH+]3)CC2)C[C@@H]1C(=O)[O-]
Cc1oc(C(=O)[O-])cc1CSCc1ccoc1C(=O)[O-]
COc1ccc([C@@H](C(=O)[O-])[C@H](C(=O)[O-])c2ccccc2)cc1
Cc1ccc(C(=O)[O-])cc1NC(=O)[C@H]1CC=CC[C@H]1C(=O)[O-]
COc1ccc(C(=O)[O-])cc1NC(=O)[C@H]1[C@@H](C(=O)[O-])C1(C)C
O=C([O-])CC[C@H](C(=O)[O-])N1C(=O)/C(=C\c2ccco2)SC1=S
O=C([O-])CC[C@@H](C(=O)[O-])N1C(=O)/C(=C/c2ccco2)SC1=S
O=C([O-])c1cc(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)[O-])ccc1Cl
O=C([O-])C[C@@H]1OC(=O)c2cc3c(cc21)C(=O)O[C@H]3CC(=O)[O-]
CC1(C)[C@H](C(=O)Nc2cccc(C(=O)[O-])c2)CC[C@]1(C)C(=O)[O-]
O=C([O-])c1cc(F)cc(-c2ccnc(C(=O)[O-])c2)c1
Cc1ccccc1C(c1ccccc1C)C(CC(=O)[O-])CC(=O)[O-]
O=C([O-])CCc1ccc(-c2ccc(F)cc2)n1CCC(=O)[O-]
O=C([O-])[C@@H]1Cc2c([nH]c3ccccc23)[C@H](C(=O)[O-])[NH2+]1
O=C([O-])[C@@H]1CC2=c3ccccc3=[NH+][C@H]2[C@H](C(=O)[O-])[NH2+]1
CC(C)(CS(=O)(=O)Nc1ccc(Cl)c(C(=O)[O-])c1)C(=O)[O-]
COc1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1O
O=C([O-])CSc1nnc(-c2cccc(Cl)c2)n1CC(=O)[O-]
CN1C(=O)C[C@@H](C(=O)[O-])C12CCN(c1cc(C(=O)[O-])cc[nH+]1)CC2
CSCC[C@H](Nc1ncnc2cc(C(=O)[O-])ccc12)C(=O)[O-]
Cc1ccc(/C=C2\SC(=S)N([C@@H](CC(=O)[O-])C(=O)[O-])C2=O)cc1
O=C([O-])/C=C/C(=O)Nc1ccc(Cl)c(NC(=O)/C=C/C(=O)[O-])c1
Nc1ccc(-c2cc(C(=O)[O-])ccc2F)c(C(=O)[O-])[nH+]1
Cc1cc(C=O)c(C)n1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1
O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(F)(F)F)c2)cc1
Cc1cccc(/C=C2\SC(=S)N([C@H](CCC(=O)[O-])C(=O)[O-])C2=O)c1
O=C([O-])CCn1cc(C[NH+]2C[C@@H](C(=O)[O-])[C@H](c3ccncc3)C2)cn1
O=C([O-])c1cccc(-c2cc(C(=O)[O-])cc(C(F)(F)F)c2)c1
O=C([O-])c1cc(NC(=O)c2ncccc2C(=O)[O-])ccc1O
O=C([O-])[C@@]12Nc3ccccc3[C@@](C(=O)[O-])(Nc3ccccc31)O2
CC(=O)Nc1ccccc1Oc1ccc(C(=O)[O-])c(C(=O)[O-])c1
O=C([O-])CC[C@@H](C(=O)[O-])N1C(=O)/C(=C/c2cccc(Cl)c2Cl)SC1=S
COc1ccc2c(c1)c([C@@H](C(=O)[O-])N1CCOCC1)cn2CCC(=O)[O-]
C[C@H]1C[C@@H](C)C[NH+]([C@@H](C(=O)[O-])c2cn(CC(=O)[O-])c3cc(Cl)ccc23)C1
O=C([O-])c1cc(NS(=O)(=O)c2ccc(Br)cc2)cc(C(=O)[O-])c1
O=C([O-])c1cc2nc(-c3ccccc3)cc(C(=O)[O-])n2n1
CN(c1ccccc1C(=O)[O-])S(=O)(=O)c1ccc(C(=O)[O-])cc1
O=C([O-])c1cc(S(=O)(=O)[N-]c2ccc(F)cc2C(=O)[O-])c[nH]1
O=C([O-])c1cccc(N2C(=O)c3ccc(C(=O)[O-])cc3C2=O)c1
O=C([O-])C[C@H](C(=O)[O-])N1C(=O)/C(=C/c2nc3ccccc3[nH]2)SC1=S
O=C([O-])c1ccc(CN2C(=O)S[C@@H](Nc3ccc(C(=O)[O-])cc3)C2=O)cc1
CN(C)C(=O)CN1CC[NH+]([C@@H](C(=O)[O-])c2cn(CC(=O)[O-])c3ccccc23)CC1
Cc1ccc(C(=O)[O-])cc1-n1c(C)cc(C[NH+]2CC[C@@]([NH3+])(C(=O)[O-])C2)c1C
COc1ccc2c(c1)c([C@@H](C(=O)[O-])N1CCN(C(C)=O)CC1)cn2CCC(=O)[O-]
O=C([O-])c1ccc(NCc2ccccc2)c(NC(=O)[C@@H]2CC=CC[C@@H]2C(=O)[O-])c1
O=C([O-])CS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)CC(=O)[O-])cc2)cc1
O=C([O-])c1ccc(/N=C/c2ccc(/C=N/c3ccc(C(=O)[O-])cc3)cc2)cc1
O=C([O-])/C=C\c1cccc(NS(=O)(=O)c2cc(C(=O)[O-])ccc2O)c1
O=C(Cn1c(C(=O)[O-])cc2ccccc21)Nc1ccc(C(=O)[O-])cc1
O=C([O-])CC[C@H](C(=O)[O-])N1C(=O)/C(=C\c2cnc3ccccc3n2)SC1=S
O=C([O-])c1cc(-c2ccccc2C(=O)[O-])cc(S(=O)(=O)N2CCSCC2)c1
O=C([O-])c1cc(C(=O)[O-])cc(N2C(=O)/C(=C/c3ccccc3F)SC2=S)c1
CC1=NN(c2ccc(C(=O)[O-])cc2)C(=O)/C1=C\c1ccccc1OCC(=O)[O-]
COc1cc(C(=O)[O-])cc2c1OC1(C=C2)C=Cc2cc(C(=O)[O-])cc(OC)c2O1
O=C1N=C([N-]c2ccc(O)c(C(=O)[O-])c2)S/C1=C\c1ccc(C(=O)[O-])cc1
O=C(Nc1ccccc1C(=O)[O-])c1ccc(C(=O)Nc2ccccc2C(=O)[O-])cc1
O=C([O-])Cn1cc([C@@H](C(=O)[O-])[NH+]2CCCN(c3ncccn3)CC2)c2ccccc21
O=C([O-])Cn1cc([C@@H](C(=O)[O-])[NH+]2CCN(Cc3cccs3)CC2)c2ccc(F)cc21
COc1cc(/C=C/c2cc(C(=O)[O-])c3ccccc3n2)ccc1OCC(=O)[O-]
COc1cccc(/C=C2/SC(=S)N(c3cc(C(=O)[O-])cc(C(=O)[O-])c3)C2=O)c1OC
C[C@H](Oc1ccc(/C=C2\SC(=S)N(c3ccc(O)c(C(=O)[O-])c3)C2=O)cc1)C(=O)[O-]
CC[C@H](Oc1cccc(/C=C2\SC(=S)N(c3cc(C(=O)[O-])ccc3C)C2=O)c1)C(=O)[O-]
O=C([O-])c1ccc(C(=O)[O-])c(NC(=O)c2ccc(OC(=O)c3ccccc3)cc2)c1
CC[C@H](Oc1ccccc1/C=C1\S/C(=N\c2ccc(O)cc2C(=O)[O-])N(C)C1=O)C(=O)[O-]
O=C([O-])Cn1cc([C@H](C(=O)[O-])[NH+]2CCN(Cc3cccc(Cl)c3)CC2)c2ccc(F)cc21
O=C([O-])c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccccc2C(=O)[O-])C3=O)cc1
